0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Service Provider­User,Marketing­User,Test Bed­Operations­User,Production­Operations­User,SDP­Admin,SDP­Manager,SMSC­Engineer,MMSC­Engineer,IN­Engineer,Post Paid­Billing­Engineer,Customer Care­User,USSD­Engineer,Network­Admin­User
ROLE_LOGIN_PROV,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
ROLE_NETWORK_ADMIN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
ROLE_SEARCH_SP,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES
ROLE_SEARCH_APP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
PROV_PRE_ACTIVE_TESTBED_STATE_NW_CONFIG,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
PROV_PRE_PROV_PRODUCTION_STATE_NW_CONFIG,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
ROLE_CREATE_APP,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_VIEW_SP,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_LIST_DRAFTS,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_SP,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_ACTIVE_TESTBED_STATE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_APPROVED_PRODUCTION_STATE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_LIMITED_PRODUCTION_STATE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_REQUEST_CR_APPLICATION,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_MARKERTING,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_REQUESTED_APPLICATION_STATE,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_CREATE_SP,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_EDIT_SP,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_SDP_ADMIN,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
PROV_PRE_APPROVED_PRODUCTION_STATE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO
PROV_SUSPENDED_TESTBED,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
PROV_SUSPENDED_PRODUCTION,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
PROV_REACTIVATE_TESTBED,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
PROV_REACTIVATE_PRODUCTION,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
